Epoch,Train_Loss,Train_Accuracy,Validation_Loss,Validation_Accuracy
1,1.3083539362306948,48.32134292565947,1.2205145359039307,62.291666666666664
2,1.1575060685475667,67.50599520383693,1.132813960313797,70.20833333333333
3,1.07704938782586,75.0,1.086122751235962,72.29166666666667
4,1.0307996052282828,77.39808153477219,1.0510801821947098,75.625
5,1.022169616487291,80.3357314148681,1.039538949728012,73.95833333333333
6,0.9997506737709045,80.2757793764988,1.0329021364450455,74.58333333333333
7,0.9980004981712058,80.99520383693046,1.0179307907819748,77.29166666666667
8,0.9684285565658852,82.9136690647482,1.0067974850535393,76.45833333333333
9,0.9558252250706708,82.61390887290167,1.00797837972641,76.875
10,0.9528984648210032,82.67386091127098,0.9968392997980118,77.5
